tmdb_id,imdb_id,title,original_title,tagline,overview,release_date,runtime_mins,certification,genres,keywords,spoken_languages,origin_country,collection,director,top_cast,production_companies,budget,revenue,vote_average,vote_count,popularity
18420,tt0118859,City of Industry,City of Industry,Wanting a man dead can be reason enough to live.,"A retired thief swears revenge on the lunatic who murdered his brother and partner, while going on the run with the loot they stole.",1997-03-14,97,R,Thriller|Crime|Drama,"escape|brother|stripper|heist|revenge|murder|los angeles, california|retired|jewel|lunatic|neo-noir",English|Spanish,US,,John Irvin,Harvey Keitel|Stephen Dorff|Timothy Hutton|Famke Janssen|Wade Dominguez,Orion Pictures|Largo Entertainment,8000000,1568258,5.5,88,7.7209
50646,tt1570728,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",This is crazy. This is stupid. This is love.,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",2011-07-29,118,PG-13,Comedy|Drama|Romance,"friendship|soulmates|marriage crisis|midlife crisis|babysitter|womanizer|law school|los angeles, california|middle school|relationship|love affair|divorcee|teenage love|playful|hilarious",English,US,,Glenn Ficarra|John Requa,Steve Carell|Ryan Gosling|Julianne Moore|Emma Stone|Lio Tipton,Warner Bros. Pictures,50000000,145079584,7.269,9145,10.2872
20352,tt1323594,Despicable Me,Despicable Me,Superbad. Superdad.,"Gru is a supervillain determined to prove he’s the greatest by stealing the Moon. To pull off his plan, he adopts three orphaned girls—Margo, Edith, and Agnes—intending to use them as part of his scheme. However, as Gru bonds with the girls, his cold, villainous exterior begins to melt.",2010-07-08,95,PG,Family|Comedy|Animation|Science Fiction|Crime,moon|parent child relationship|orphanage|villain|adoptive father|life's dream|rivalry|ballet|stealing|little girl|orphan|tomboy|intelligent|evil doctor|duringcreditsstinger|supervillain|joyful,English,US,Despicable Me Collection,Chris Renaud|Pierre Coffin,Steve Carell|Jason Segel|Miranda Cosgrove|Dana Gaier|Elsie Fisher,Illumination|Universal Pictures,69000000,543284256,7.256,15909,10.6066
772,tt0104431,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,He's up past his bedtime in the city that never sleeps.,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",1992-11-15,120,PG,Comedy|Family|Adventure,new york city|burglar|holiday|family relationships|sequel|slapstick comedy|little boy|home invasion|family|precocious child|home alone|mischievous child|shocking|aggressive|christmas|kids on their own|child rescue|depressing,English|French,US,Home Alone Collection,Chris Columbus,Macaulay Culkin|Joe Pesci|Daniel Stern|Catherine O'Hara|John Heard,20th Century Fox|Hughes Entertainment,18000000,358994850,6.782,10498,10.1459
76338,tt1981115,Thor: The Dark World,Thor: The Dark World,Delve into the darkness.,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",2013-10-30,112,PG-13,Action|Adventure|Fantasy,superhero|based on comic|hostile takeover|norse mythology|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe (mcu)|mythological place,English,US,Thor Collection,Alan Taylor,Chris Hemsworth|Natalie Portman|Tom Hiddleston|Christopher Eccleston|Anthony Hopkins,Marvel Studios,170000000,644783140,6.51,18171,10.8213
9820,tt0120783,The Parent Trap,The Parent Trap,"Twice the Fun, Double the Trouble.","Hallie Parker and Annie James are identical twins who were separated at a young age due to their parents' divorce. Unbeknownst to their parents, the girls are sent to the same summer camp, where they meet, discover the truth about their relationship, and come up with a plan to switch places in an effort to reunite their mother and father.",1998-07-28,128,PG,Comedy|Family|Romance,california|summer camp|twin sister|remake|matchmaking|family reunion|wedding dress|gold digger|twins separated at birth|identity swap|father daughter reunion|divorced parents|woman director|mother daughter reunion|napa valley|sleepaway camp|father daughter relationship|mother daughter relationship|sister sister relationship|stop wedding|parent child reunion|age-gap relationship|long lost sibling|identical twins|cheerful|wedding sabotage|wine collection,French|Spanish|Italian|English,US,,Nancy Meyers,Lindsay Lohan|Dennis Quaid|Natasha Richardson|Elaine Hendrix|Lisa Ann Walter,Walt Disney Pictures|The Meyers/Shyer Company,15000000,92108518,7.2,4472,9.583
575264,tt9603212,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,We all share the same fate.,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",2023-07-08,164,PG-13,Action|Thriller|Adventure,"mask|race against time|mission|rome, italy|chase|secret mission|spy|fake identity|secret agent|sequel|intelligence agency|secret government organization|infiltration|fictional government agency|rogue agent|government agency|based on tv series|suspenseful|witty|action",French|English|Italian|Russian,US,Mission: Impossible Collection,Christopher McQuarrie,Tom Cruise|Hayley Atwell|Ving Rhames|Simon Pegg|Rebecca Ferguson,Paramount Pictures|Skydance Media|TC Productions,220000000,571125435,7.508,4980,11.8809
777443,tt7766378,The Electric State,The Electric State,Rage with the machines.,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",2025-03-07,125,PG-13,Science Fiction|Adventure|Action,man vs machine|artificial intelligence (a.i.)|based on novel or book|technology|dystopia|robot|1990s|young|missing brother|comedy|joyful,English,US,,Joe Russo|Anthony Russo,Millie Bobby Brown|Chris Pratt|Ke Huy Quan|Jason Alexander|Woody Norman,AGBO|Skybound Entertainment,320000000,0,6.485,1584,10.0883
524,tt0112641,Casino,Casino,No one stays at the top forever.,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",1995-11-22,179,R,Crime|Drama,drug abuse|casino|based on novel or book|poker|italian american|gambling|1970s|fbi|pimp|greed|cocaine|overdose|marriage|car bomb|rise and fall|money|murder|organized crime|mafia|jewish american|las vegas|desert|safe deposit box|1980s|dramatic|suspenseful|brutal violence|fbi surveillance,English,US,,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles,Universal Pictures|Syalis DA|Légende Films|Cappa/De Fina Productions,50000000,116112375,7.991,6425,9.661
107,tt0208092,Snatch,Snatch,Stealin' stones and breakin' bones.,"Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.",2000-09-01,103,R,Crime|Comedy,robbery|trailer park|england|gypsy|gambling|bare knuckle boxing|slang|diamond|antwerp|pig|gangster|boxer|underground fighting|diamond heist|pikey|excited,English|Russian,GB,,Guy Ritchie,Jason Statham|Alan Ford|Stephen Graham|Brad Pitt|Dennis Farina,SKA Films,100000000,83557872,7.818,9821,10.5761
