tmdb_id,imdb_id,title,original_title,tagline,overview,release_date,runtime_mins,certification,genres,keywords,spoken_languages,origin_country,collection,director,top_cast,production_companies,budget,revenue,vote_average,vote_count,popularity
3172,tt0219965,Bandits,Bandits,"Two's company, three's a crime.","After escaping from prison, Joe and Terry go on a crime spree, robbing banks through Oregon and California in order to finance their scheme for a new life south of the border. Unfortunately, things get more complicated when they meet Kate, who runs into them with her car. She joins the bandits on their cross-country spree, and eventually she steals something, too: their hearts.",2001-10-12,123,PG-13,Comedy|Crime,prison|hostage|bank manager|bank robber|motel|dark comedy|heist|money|prison break|disguises|cement truck,English,US,,Barry Levinson,Bruce Willis|Billy Bob Thornton|Cate Blanchett|Troy Garity|William Converse-Roberts,Epsilon Motion Pictures|Lotus Pictures|Cheyenne Enterprises|Metro-Goldwyn-Mayer|Hyde Park Entertainment|Empire Pictures|Spring Creek Pictures|Baltimore Pictures,75000000,67631903,6.302,1087,2.7015
586461,tt8372298,Swallow,Swallow,Open Up.,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",2020-01-15,95,R,Drama|Thriller,sexual abuse|housewife|loneliness|psychological thriller|psychiatrist|therapy|mental illness|eating non food|eating disorder|speculative|compulsion|disturbed|abortion|unwanted child|wealthy family|compulsive eating|pregnancy from rape|disgusted|distressing|pica,English,US,,Carlo Mirabella-Davis,Haley Bennett|Austin Stowell|Elizabeth Marvel|David Rasche|Denis O'Hare,Charades|Logical Pictures|Stand Alone Productions|Syncopated Films|The Population,0,274674,6.584,832,2.791
38357,tt1126618,Morning Glory,Morning Glory,What's the story?,"A young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in New York City. Eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories.",2010-11-10,107,PG-13,Drama|Comedy|Romance,new york city|workaholic|tv ratings|television producer|work ethic|morning show|tv reporter|tv show in film|tv host|tv news anchor|city life,English|Ukrainian,US,,Roger Michell,Rachel McAdams|Harrison Ford|Diane Keaton|Patrick Wilson|Jeff Goldblum,Bad Robot|Goldcrest|Paramount Pictures,40000000,60040976,6.366,1613,3.3345
11096,tt0382077,Hide and Seek,Hide and Seek,"Come out, come out, whatever you are.","David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",2005-01-27,101,R,Horror|Mystery,loss of loved one|house|imaginary friend,English,US,,John Polson,Robert De Niro|Dakota Fanning|Famke Janssen|Elisabeth Shue|Amy Irving,MBC Beteiligungs Filmproduktion|Fox 2000 Pictures|Josephson Entertainment|20th Century Fox,30000000,127369981,6.3,1695,2.9386
11443,tt0112819,Dead Presidents,Dead Presidents,"In this daring heist, the only color that counts is green",On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,1995-09-29,119,R,Crime|Drama|Action,"new york city|vietnam|drug abuse|post-traumatic stress disorder (ptsd)|war veteran|1970s|minister|male friendship|redemption|loss of virginity|heist|money|milkman|battlefield|high school graduation|revolutionary|courtroom|mercy killing|armored truck|bronx, new york city|medic|1960s|war trauma|african american|economic struggle",English,US,,Albert Hughes|Allen Hughes,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson,Caravan Pictures|Underworld Pictures|Hollywood Pictures,10000000,24100000,6.671,319,2.6619
4688,tt0445922,Across the Universe,Across the Universe,All you need is love.,"When young dockworker Jude leaves Liverpool to find his estranged father in the United States, he is swept up by the waves of change that are re-shaping the nation. Jude falls in love with Lucy, who joins the growing anti-war movement. As the body count in Vietnam rises, political tensions at home spiral out of control and the star-crossed lovers find themselves in a psychedelic world gone mad.",2007-09-14,133,PG-13,Drama|Romance|Fantasy,"vietnam war|protest|musical|liverpool, england|riot|cultural difference|university|fantasy sequence|anti war|police arrest|march|woman director|1960s|jukebox musical",English,US,,Julie Taymor,Evan Rachel Wood|Jim Sturgess|Joe Anderson|Dana Fuchs|Martin Luther,Revolution Studios|Team Todd|Gross Entertainment|Sound Films,45000000,29625761,7.121,1423,3.0203
15139,tt0110763,The Pagemaster,The Pagemaster,All the adventure your imagination can hold.,"Rich knows a lot about accidents. So much so, he is scared to do anything that might endanger him, like riding his bike, or climbing into his treehouse. While in an old library, he is mystically transported into the unknown world of books, and he has to try and get home again.",1994-11-23,75,G,Family|Fantasy|Animation,rain|animated scene|bike|live action and animation,English,US,,Joe Johnston|Pixote Hunt,Macaulay Culkin|Christopher Lloyd|Whoopi Goldberg|Patrick Stewart|Frank Welker,20th Century Fox|Turner Pictures|David Kirschner Productions|Turner Feature Animation,27000000,13670688,6.401,774,2.9876
9683,tt0258470,Bubble Boy,Bubble Boy,Life is an adventure. Don't blow it.,"Jimmy is a young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom... who pines for the sweet caresses of girl-next-door Chloe. But when Chloe decides to marry her high school boyfriend, Jimmy – bubble suit and all – treks cross-country to stop her.",2001-08-24,84,PG-13,Comedy|Adventure|Romance,lovesickness|niagara falls|crush|illness|joyous,French|English,US,,Blair Hayes,Jake Gyllenhaal|Swoosie Kurtz|Marley Shelton|Danny Trejo|John Carroll Lynch,Touchstone Pictures|Bandeira Entertainment,0,5007209,5.75,619,2.4437
35122,tt0127296,Splendor,Splendor,Explore the possibilities...,"Veronica is a white-bread beauty searching for a good man in Los Angeles. While slam dancing at a Halloween rave, she meets Abel, a sensitive poet. Then she meets Zed, a supersexy tattooed drummer with incredible biceps. Who will she choose? Does she go for true love or cheap sex? She can't decide so she chooses both. But after managing to nurture a picture-perfect threesome, along comes Ernest, a rich movie director with deep baby blues that sweep Veronica off her feet. What's a girl to do now?",1999-09-17,93,R,Comedy|Romance,menage a trois,English,US|GB,,Gregg Araki,Kathleen Robertson|Johnathon Schaech|Matt Keeslar|Kelly Macdonald|Eric Mabius,Summit Entertainment|Desperate Pictures|Newmarket Capital Group|Dragon Pictures,0,45703,6.1,79,3.5061
533642,tt8663516,Child's Play,Child's Play,More than a toy... he's your best friend.,"Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.",2019-06-19,90,R,Horror|Thriller,"chicago, illinois|artificial intelligence (a.i.)|evil doll|remake|killer doll|slasher|reboot|animatronic|android horror",English|Vietnamese,US,,Lars Klevberg,Mark Hamill|Aubrey Plaza|Gabriel Bateman|Brian Tyree Henry|Tim Matheson,KatzSmith Productions|Bron Studios|Creative Wealth Media Finance|Oddfellows Entertainment|Orion Pictures,10000000,44902237,5.963,2027,2.901
