tmdb_id,imdb_id,title,original_title,tagline,overview,release_date,runtime_mins,certification,genres,keywords,spoken_languages,origin_country,collection,director,top_cast,production_companies,budget,revenue,vote_average,vote_count,popularity
80271,tt1592873,LOL,LOL,"You can change your status, but not your heart.","In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown.",2012-02-10,97,PG-13,Drama|Comedy|Romance,coming of age|teen movie|based on movie|working mom|woman director|mother daughter relationship|teenager,English,US,,Lisa Azuelos,Miley Cyrus|Demi Moore|Douglas Booth|Ashley Greene|Ashley Hinshaw,Mandate Pictures|Double Feature Films,11000000,10500000,6.101,2739,3.2318
480853,tt6509058,Nancy,Nancy,,"Nancy becomes increasingly convinced she was kidnapped as a child. When she meets a couple whose daughter went missing thirty years ago, reasonable doubts give way to willful belief.",2018-06-08,87,12A,Mystery|Drama|Thriller,searching for biological parents,English,US,,Christina Choe,Andrea Riseborough|John Leguizamo|Steve Buscemi|J. Smith-Cameron|Ann Dowd,Gamechanger Films|Mental Pictures|Mothersucker|XS Media,0,92000,5.855,131,3.5831
52520,tt1496025,Underworld: Awakening,Underworld: Awakening,Vengeance Returns,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",2012-01-19,88,R,Fantasy|Action|Horror,daughter|experiment|vampire|hybrid|child vampire|conspiracy|werewolf|fictional war|gothic|dark fantasy|werewolf child|urban gothic|good versus evil,English|Russian,US,Underworld Collection,Måns Mårlind|Björn Stein,Kate Beckinsale|Stephen Rea|Michael Ealy|Theo James|India Eisley,Screen Gems|Lakeshore Entertainment|Sketch Films|UW4 Productions,70000000,160112671,6.335,4301,3.7947
10725,tt0083336,Wolfen,Wolfen,"They can hear a cloud pass overhead, the rhythm of your blood. They can track you by yesterday's shadow. They can tear the scream from your throat.",A New York City cop and an expert criminologist trying to solve a series of grisly deaths in which the victims have seemingly been maimed by feral animals discover a sinister connection between the crimes and an old legend.,1981-07-24,115,R,Horror|Thriller,new york city|based on novel or book|wolf|transformation|investigation|werewolf|murder investigation,English,US,,Michael Wadleigh,Albert Finney|Diane Venora|Edward James Olmos|Gregory Hines|Tom Noonan,King-Hitzig Productions|Orion Pictures,17000000,10626725,5.933,252,3.4433
615643,tt10633456,Minari,Minari,A timeless story of what roots us.,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of this new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",2021-02-12,115,PG-13,Drama,american dream|affectation|arkansas|church|east asian lead|farmland|farmer|burlesque|semi autobiographical|heart condition|family tension|hatchery|1980s|thoughtful|vegetable farm|korean american|mobile home|rural setting|grandmother grandson relationship|korean|asian american|korean food|dramatic|korean immigrant|embarrassed,English|Korean,US,,Lee Isaac Chung,Steven Yeun|Han Ye-ri|Youn Yuh-jung|Will Patton|Alan Kim,Plan B Entertainment,2000000,12900000,7.329,1817,3.7804
111839,tt0423455,Hemingway & Gellhorn,Hemingway & Gellhorn,"We were good in war. And when there was no war, we made our own.",Writer Ernest Hemingway begins a romance with fellow scribe Martha Gellhorn.,2012-08-27,155,12,Drama|Romance,infidelity|journalist|spanish civil war (1936-39)|biography|europe|love|writer|divorce|ernest hemingway|1930s,English,US,,Philip Kaufman,Nicole Kidman|Clive Owen|David Strathairn|Rodrigo Santoro|Molly Parker,HBO|Attaboy Films|For Whom Productions,19500000,0,6.097,190,3.2948
547017,tt8430598,Shirley,Shirley,,A famous horror writer finds inspiration for her next book after she and her husband take in a young couple.,2020-09-11,107,R,Drama|Thriller|Mystery,husband wife relationship|biography|writer|woman director|young couple,English,US,,Josephine Decker,Elisabeth Moss|Odessa Young|Michael Stuhlbarg|Logan Lerman|Victoria Pedretti,Killer Films|Los Angeles Media Fund,0,230441,6.1,200,3.1679
1599,tt0356721,I ♥ Huckabees,I ♥ Huckabees,An existential comedy,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means.",2004-09-10,106,R,Comedy|Romance,jealousy|wife|detective|protest|celebrity|rivalry|religion|universe|anger|husband|existentialism|enviroment,English|French|Spanish,US,,David O. Russell,Jason Schwartzman|Isabelle Huppert|Dustin Hoffman|Lily Tomlin|Jude Law,Fox Searchlight Pictures|Qwerty Films|Kanzeon|Scott Rudin Productions|N1 European Film Produktions,22000000,20094909,6.287,695,2.8421
96724,tt1781769,Anna Karenina,Anna Karenina,An epic story of love.,"In Imperial Russia, Anna, wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets charming cavalry officer Vronsky, to whom she's immediately attracted. But in St. Petersburg’s high society, a relationship like this could destroy a woman’s reputation.",2012-09-06,129,R,Drama|Romance|History,"adultery|based on novel or book|horse race|st. petersburg, russia|death|high society|imperial russia|19th century",English|French|Russian,GB,,Joe Wright,Keira Knightley|Jude Law|Aaron Taylor-Johnson|Matthew Macfadyen|Eric MacLennan,Working Title Films|Focus Features,40600000,68929150,6.708,2387,3.1708
723072,tt12749596,Host,Host,Someone new has joined the meeting.,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realise they might not survive the night.",2020-12-04,56,NR,Horror,quarantine|computer|isolation|evil spirit|internet|psychic|internet chat|macabre|found footage|séance|lockdown|supernatural horror|covid-19|zoom call|screenlife|livestream|horror|faux documentary,English,GB,,Rob Savage,Haley Bishop|Jemma Moore|Emma Louise Webb|Radina Drandova|Caroline Ward,Shadowhouse Films|BOO-URNS,100000,443807,6.471,1074,3.9426
