tmdb_id,imdb_id,title,original_title,tagline,overview,release_date,runtime_mins,certification,genres,keywords,spoken_languages,origin_country,collection,director,top_cast,production_companies,budget,revenue,vote_average,vote_count,popularity
10925,tt0089907,The Return of the Living Dead,The Return of the Living Dead,They're Back From The Grave and Ready To Party!,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.",1985-04-25,91,R,Comedy|Horror,"cemetery|dark comedy|crematorium|punk rock|undead|zombie|paramedic|attic|warehouse|night of the living dead|walking dead|female stripping|louisville|louisville, ky|supernatural horror|body horror|teen horror|b-horror",English,US,Return of the Living Dead Collection,Dan O'Bannon,Clu Gulager|James Karen|Don Calfa|Thom Mathews|Miguel A. Núñez Jr.,Hemdale Film Corporation|Fox Films Ltd.|Cinema 84,4000000,14241310,7.187,2256,4.2039
4970,tt0348836,Gothika,Gothika,Because someone is dead doesn't mean they're gone.,"After a car crash, criminal psychologist Dr. Miranda Grey regains consciousness only to find that she's a patient in the same mental institution that currently employs her. She's been accused of murdering her husband Dr. Douglas Grey — but she has no memory of committing the crime. As she tries to regain her memory and convince her co-worker, Dr. Pete Graham, of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",2003-11-21,98,R,Horror|Thriller|Mystery,rape|insanity|married couple|car crash|paranormal|confusion|murder|psychiatric hospital|memory loss|mental institution|mental patient|mental illness|vengeful ghost|psychotic|female psychiatrist|repressed memory|accused of murder|desperate|urban gothic|pawn|murdered husband|bewildered|surprise-ending|criminal psychologist,English,US,,Mathieu Kassovitz,Halle Berry|Robert Downey Jr.|Charles S. Dutton|John Carroll Lynch|Bernard Hill,Dark Castle Entertainment,40000000,141591324,6.118,2454,3.5651
10065,tt0384806,The Amityville Horror,The Amityville Horror,What happened over the next 28 days has never been explained.,"George Lutz, his wife Kathy, and their three children have just moved into a beautiful, and improbably cheap, Dutch colonial mansion nestled in the sleepy coastal town of Amityville, Long Island. However, their dream home is concealing a horrific past and soon each member of the Lutz family is plagued with increasingly strange and violent visions and impulses.",2005-04-14,90,R,Horror,"holy water|haunted house|based on true story|long island, new york|family dinner|paranormal|murder|family|death|wood chopping|backwards|tortured to death|moving in|family in danger|absurd|horror remake|cliché",English,US,The Amityville Collection,Andrew Douglas,Ryan Reynolds|Melissa George|Jesse James|Jimmy Bennett|Chloë Grace Moretz,Metro-Goldwyn-Mayer|Dimension Films|Platinum Dunes|Radar Pictures,19000000,107516369,6.114,2324,3.6861
74308,tt1683526,Detachment,Detachment,,"A chronicle of three weeks in the lives of several high school teachers, administrators and students through the eyes of substitute teacher, Henry Barthes. Henry roams from school to school, imparting modes of knowledge, but never staying long enough to form any semblance of sentient attachment.",2011-04-24,98,NR,Drama,depression|falsely accused|professor|classroom|grandfather|unhappiness|animal abuse|dreary,English,US,,Tony Kaye,Adrien Brody|Marcia Gay Harden|James Caan|Christina Hendricks|Lucy Liu,Paper Street Films|Kingsgate Films|Appian Way,0,1681521,7.625,1952,4.2151
9760,tt0799949,Epic Movie,Epic Movie,We know it's big. We measured.,"When the Pevensie siblings each follow their own path, they find themselves at Willy's Chocolate Factory. Walking through a wardrobe, they discover the world of Gnarnia, ruled by the White Bitch. Meeting up with characters such as Harry Potter and Captain Jack Swallows, the newly reunited family must team up with Aslo, a wise-but-horny lion to stop the White Bitch's army.",2007-01-25,85,PG-13,Comedy|Adventure|Fantasy,parody|crude humor|spoof,English,US,,Jason Friedberg|Aaron Seltzer,Kal Penn|Adam Campbell|Jennifer Coolidge|Jayma Mays|Faune Chambers Watkins,Regency Enterprises|New Regency Pictures|Paul Schiff Productions|20th Century Fox,20000000,87238158,3.872,1656,3.6594
8193,tt0374900,Napoleon Dynamite,Napoleon Dynamite,He's out to prove he's got nothing to prove.,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",2004-06-11,95,PG,Comedy,underdog|high school|sibling relationship|idaho|chat|friends|school dance|social outcast|aftercreditsstinger|socially awkward|based on short film|indifferent|quirky characters,English,US,,Jared Hess,Jon Heder|Efren Ramirez|Tina Majorino|Aaron Ruell|Jon Gries,Napoleon Pictures,400000,46118097,6.779,2111,3.7502
1251717,tt31511689,Vicious,Vicious,"Give it something you hate, something you need, something you love.","When Polly receives a mysterious box, it comes with one rule: place inside something she needs, something she hates, and something she loves. If she doesn’t obey, it will consume everything—and everyone—she’s ever known.",2025-08-06,98,R,Horror|Thriller,bewildered,English,US,,Bryan Bertino,Dakota Fanning|Kathryn Hunter|Mary McCormack|Rachel Blanchard|Devyn Nekoda,Atlas Independent|Paramount Pictures,0,0,6.0,233,3.8973
357096,tt4530884,I Spit on Your Grave III: Vengeance Is Mine,I Spit on Your Grave III: Vengeance Is Mine,This Time It Gets Even More Brutal.,"Jennifer Hills is still tormented by the brutal sexual assault she endured years ago. She’s changed identities and cities, reluctantly joining a support group where she begins to piece together a new life. But when her new friend’s murderer goes free and the tales of serial rapists haunt her, Jennifer will hunt down the men responsible and do what the system won’t – make them pay for their crimes in the most horrific ways imaginable. Only this time, no jury may be able to save her.",2015-10-01,91,R,Horror|Thriller,rape|police|detective|group therapy|investigation|sequel|revenge|murder|torture|attempted rape|rape and revenge|exuberant,English,US,I Spit on Your Grave Collection,Richard Schenkman,Sarah Butler|Jennifer Landon|Jeff Branson|Harley Jane Kozak|Karen Strassman,CineTel Films,0,144420,5.78,1045,4.0053
848187,tt12964320,Role Play,Role Play,Every couple has their secrets.,Emma has a wonderful husband and two kids in the suburbs of New Jersey – she also has a secret life as an assassin for hire – a secret that her husband David discovers when the couple decide to spice up their marriage with a little role play.,2023-12-14,101,R,Action|Comedy|Romance,"assassin|berlin, germany|husband wife relationship|secret life|submissive|hired killer|secretive wife|clueless husband|mother daughter relationship|woman spy|cliché",English|Spanish,US,,Thomas Vincent,Kaley Cuoco|David Oyelowo|Bill Nighy|Connie Nielsen|Rudi Dharmalingam,StudioCanal|The Picture Company|Studio Babelsberg|StudioCanal,0,0,5.954,619,3.8239
11618,tt0171363,The Haunting,The Haunting,Some houses are born bad.,Dr. David Marrow invites three distinct individuals to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself — and they soon see the true nature of its horror.,1999-07-23,113,PG-13,Horror|Thriller|Fantasy|Mystery,based on novel or book|painting|trauma|haunted house|haunting|castle|insomnia|bone|poster|child labor|audio recording|spiral staircase|evil|loner|researcher|insomniac|paranormal activity|logbook|strange noise|spook|cherub|suspenseful,English,US,,Jan de Bont,Liam Neeson|Lili Taylor|Catherine Zeta-Jones|Owen Wilson|Bruce Dern,DreamWorks Pictures|Roth/Arnold Productions,80000000,177311151,5.477,1496,4.2805
